Original Colliding Pair: 0xb26bb595439b4173, 0x4cbe775984884322; Case: 1; Colliding Pair: 0x971901c8, 0xf1104d4c
Original Colliding Pair: 0x8938c446a6bc465f, 0xbf10585adeb1d664; Case: 2; Colliding Pair: 0x8938c446, 0xbf10585a
Original Colliding Pair: 0x4b23bc1ff5c196f1, 0xfa968d04ab2ad43e; Case: 1; Colliding Pair: 0x62522582, 0x2082a82a
Original Colliding Pair: 0x707b457c2f49168c, 0x4f11873136af0719; Case: 2; Colliding Pair: 0x707b457c, 0x4f118731
Original Colliding Pair: 0x0e59327bd6cebd96, 0xef217016d6cebd96; Case: 2; Colliding Pair: 0x0e59327b, 0xef217016
Original Colliding Pair: 0x4c1779db9cd6fe16, 0x4c1779dbbc34bf27; Case: 2; Colliding Pair: 0x9cd6fe16, 0xbc34bf27
Original Colliding Pair: 0x9ed2c6afae432577, 0x9ed2c6afe384ba16; Case: 2; Colliding Pair: 0xae432577, 0xe384ba16
Original Colliding Pair: 0xdb174de8cab8e3a5, 0xd1958c516a958d67; Case: 1; Colliding Pair: 0xe9038478, 0xb92fe462
Original Colliding Pair: 0xd735a4f608dd3532, 0xd735a4f6c29bc152; Case: 2; Colliding Pair: 0x08dd3532, 0xc29bc152
Original Colliding Pair: 0x2ffd5d5c6be753c4, 0xe99cdd157d0f365d; Case: 1; Colliding Pair: 0x35bcf02a, 0x48b0ca30
Original Colliding Pair: 0x91942871e629f183, 0xbe92345d1a30162a; Case: 1; Colliding Pair: 0xf74b31bd, 0xcdb1844a
Original Colliding Pair: 0x8dd5a22052148246, 0xd8b10c3252148246; Case: 2; Colliding Pair: 0x8dd5a220, 0xd8b10c32
Original Colliding Pair: 0x4b9c44d9d3b46a87, 0x2916be2cd4a98dec; Case: 1; Colliding Pair: 0xcedb4411, 0x6f100337
Original Colliding Pair: 0xf2f5cc0cf9388ff1, 0x7e89ae400c93ec09; Case: 1; Colliding Pair: 0x8fb11c82, 0x8aab2605
Original Colliding Pair: 0x9d5beac3d3c83a26, 0x87ad8f48aba10d5e; Case: 1; Colliding Pair: 0xe32495e1, 0xbe9ede64
Original Colliding Pair: 0x64b0b144f89c461d, 0xbebd8531be20f733; Case: 1; Colliding Pair: 0xb97a5837, 0xa1028873
Original Colliding Pair: 0xaae1605ff46c61e1, 0xe0b2f3f61c261205; Case: 2; Colliding Pair: 0xaae1605f, 0xe0b2f3f6
Original Colliding Pair: 0x241e872c4d972000, 0xaa8bd344059e435e; Case: 1; Colliding Pair: 0x76cf17bb, 0x9528da4e
Original Colliding Pair: 0x50017d4eac128af4, 0x8aa2fa3dc2b1e464; Case: 1; Colliding Pair: 0x9e1dfbe2, 0x9e0ffb69
Original Colliding Pair: 0xbb65a810844a71e4, 0x3d06355e54914845; Case: 1; Colliding Pair: 0x871e137a, 0xc2af9bf1
